CNPJ_Fundo,Data_Referencia,Versao,Mes_Referencia,Percentual_Rentabilidade_Efetiva_Mes,Percentual_Rentabilidade_Auferida_Ausencia_Garantia
17.590.518/0001-25,2018-12-31,2,out/18,0.0,0.0
17.590.518/0001-25,2018-12-31,2,nov/18,0.0,0.0
17.590.518/0001-25,2018-12-31,2,dez/18,0.0,0.0
18.330.535/0001-96,2018-03-29,1,01/2018,0.005253,0.005253
18.330.535/0001-96,2018-03-29,1,02/2018,0.003191,0.003191
18.330.535/0001-96,2018-03-29,1,03/2018,0.005272,0.005272
18.330.535/0001-96,2018-06-29,1,04/2018,0.005196,0.005196
18.330.535/0001-96,2018-06-29,1,05/2018,-0.005202,-0.005202
18.330.535/0001-96,2018-06-29,1,06/2018,-0.002646,-0.002646
18.330.535/0001-96,2018-09-28,1,07/2018,0.000381,0.000381
18.330.535/0001-96,2018-09-28,1,08/2018,7e-06,7e-06
18.330.535/0001-96,2018-09-28,1,09/2018,0.00053,0.00053
18.330.535/0001-96,2018-12-31,1,10/2018,-0.000501,-0.000501
18.330.535/0001-96,2018-12-31,1,11/2018,0.003021,0.003021
18.330.535/0001-96,2018-12-31,1,12/2018,0.060832,0.060832
18.369.510/0001-04,2018-03-29,2,Março,0.000893,0.000893
18.369.510/0001-04,2018-06-29,1,Junho,0.001062,0.001062
18.369.510/0001-04,2018-09-28,1,Setembro,0.001062,0.001062
18.369.510/0001-04,2018-12-31,1,Setembro,0.001062,0.001062
19.107.604/0001-60,2018-03-29,1,Jan/2018,0.009545,-0.001404
19.107.604/0001-60,2018-03-29,1,Fev/2018,0.007412,-0.001623
19.107.604/0001-60,2018-03-29,1,Mar/2018,0.008442,-0.001542
20.216.935/0001-17,2018-03-29,1,01/2018,0.008749,0.008749
20.216.935/0001-17,2018-03-29,1,02/2018,0.010404,0.010404
20.216.935/0001-17,2018-03-29,1,03/2018,0.032757,0.032757
20.216.935/0001-17,2018-09-28,1,07/2018,0.01992,0.01992
20.216.935/0001-17,2018-09-28,1,08/2018,-0.006595,-0.006595
20.216.935/0001-17,2018-09-28,1,09/2018,-0.004491,-0.004491
20.216.935/0001-17,2018-12-31,1,10/2018,0.054673,0.054673
