CNPJ_Fundo,Data_Referencia,Versao,Classe,Nome_Endereco_Imovel,Justificativa_Evolucao_Inferior_Previsto,Justificativa_Custo_Superior_Previsto
23.120.006/0001-06,2019-12-31,1,Imóveis para renda em construção,CD Contagem,Impacto devido à questões com a construtora contratada.,não se aplica
27.293.689/0001-46,2019-03-29,1,Imóveis para venda em construção,Dual Medical & Business,Limitação de fluxo de caixa,Não houve custos superiores
27.293.689/0001-46,2019-06-28,1,Imóveis para venda em construção,Dual Medical & Business,Limitação de fluxo de caixa,Não houve custos superiores
27.293.689/0001-46,2019-09-30,1,Imóveis para venda em construção,Dual Medical & Business,Limitação de fluxo de caixa,Não houve custos superiores
27.293.689/0001-46,2019-12-31,1,Imóveis para venda em construção,Dual Medical & Business,Limitação de fluxo de caixa,Não houve custos superiores
28.267.555/0001-13,2019-09-30,1,Imóveis para renda em construção,"CONDOMINIO LED CORPORATE (70,81% da área total)",A obra encontra-se em fase inicial de construção e sua evolução está dentro do cronograma previsto.,A obra encontra-se em fase inicial de construção e os custos estão dentro do cronograma previsto.
28.267.555/0001-13,2019-12-31,1,Imóveis para renda em construção,"CONDOMINIO LED CORPORATE (70,81% da área total)",A obra encontra-se em fase inicial de construção e sua evolução está dentro do cronograma previsto.,A obra encontra-se em fase inicial de construção e os custos estão dentro do cronograma previsto.
28.516.650/0001-03,2019-03-31,1,Imóveis para venda em construção,,,
28.516.650/0001-03,2019-03-31,1,Imóveis para renda em construção,,,
28.516.650/0001-03,2019-06-30,1,Imóveis para renda em construção,,,
28.516.650/0001-03,2019-06-30,1,Imóveis para venda em construção,Condomínio Borges 3647,"O período intenso de chuvas no Rio de Janeiro de mar/19 a mai/19 fez com que hovessem mais dias de obra parada do que dias trabalhados no período, afetando o cronograma projetado.",
28.516.650/0001-03,2019-09-30,1,Imóveis para venda em construção,Condomínio Borges 3647,"O ritmo das obras nesta etapa pode ser considerado normal, quando cotejados os percentuais observados e os previstos no cronograma físico-financeiro.",
28.516.650/0001-03,2019-09-30,1,Imóveis para renda em construção,,,
