CNPJ_Fundo,Data_Referencia,Versao,Numero_Processo,Valores,Causa_Contingencia
09.326.861/0001-39,2016-12-01,1,1005371-70.2015.8.26.0011,36480.73,"Em princípio, sem contingência passiva, na medida em que Fundo/Condomínio do Shopping/Seus antecessores não estão no pólo passivo da demanda. Custas e Honorários Advocatícios podem ser considerados devidos em caso de julgamento à favor do réu/executado."
09.326.861/0001-39,2016-12-01,1,1005332-73.2015.8.26.0011,92144.74,"Em princípio, sem contingência passiva, na medida em que Fundo/Condomínio do Shopping/Seus antecessores não estão no pólo passivo da demanda. Custas e Honorários Advocatícios podem ser considerados devidos em caso de julgamento à favor do réu/executado."
09.326.861/0001-39,2016-12-01,1,1047318-31.2015.8.26.0100,149553.84,"Em princípio, sem contingência passiva, na medida em que Fundo/Condomínio do Shopping/Seus antecessores não estão no pólo passivo da demanda. Custas e Honorários Advocatícios podem ser considerados devidos em caso de julgamento à favor do réu/executado."
09.326.861/0001-39,2016-12-01,1,1088230-07.2014.8.26.0100,27291.6,"Em princípio, sem contingência passiva, na medida em que Fundo/Condomínio do Shopping/Seus antecessores não estão no pólo passivo da demanda. Custas e Honorários Advocatícios podem ser considerados devidos em caso de julgamento à favor do réu/executado."
09.326.861/0001-39,2016-12-01,1,1126532-08.2014.8.26.0100,233105.22,"Em princípio, sem contingência passiva, na medida em que Fundo/Condomínio do Shopping/Seus antecessores não estão no pólo passivo da demanda. Custas e Honorários Advocatícios podem ser considerados devidos em caso de julgamento à favor do réu/executado."
09.326.861/0001-39,2016-12-01,1,1126409-10.2014.8.26.0100,42007.68,"Em princípio, sem contingência passiva, na medida em que Fundo/Condomínio do Shopping/Seus antecessores não estão no pólo passivo da demanda. Custas e Honorários Advocatícios podem ser considerados devidos em caso de julgamento à favor do réu/executado."
09.326.861/0001-39,2016-12-01,1,0078933-98.2011.8.26.0002,37372.59,"Em princípio, sem contingência passiva, na medida em que Fundo/Condomínio do Shopping/Seus antecessores não estão no pólo passivo da demanda. Custas e Honorários Advocatícios podem ser considerados devidos em caso de julgamento à favor do réu/executado."
09.326.861/0001-39,2016-12-01,1,1015949-70.2016.8.26.0007,11901.46,"Em princípio, sem contingência passiva, na medida em que Fundo/Condomínio do Shopping/Seus antecessores não estão no pólo passivo da demanda. Custas e Honorários Advocatícios podem ser considerados devidos em caso de julgamento à favor do réu/executado."
09.326.861/0001-39,2016-12-01,1,1095933-18.2016.8.26.0100,128725.72,"Em princípio, sem contingência passiva, na medida em que Fundo/Condomínio do Shopping/Seus antecessores não estão no pólo passivo da demanda. Custas e Honorários Advocatícios podem ser considerados devidos em caso de julgamento à favor do réu/executado."
09.326.861/0001-39,2016-12-01,1,1080082-36.2016.8.26.0100,198899.77,"Em princípio, sem contingência passiva, na medida em que Fundo/Condomínio do Shopping/Seus antecessores não estão no pólo passivo da demanda. Custas e Honorários Advocatícios podem ser considerados devidos em caso de julgamento à favor do réu/executado."
09.326.861/0001-39,2016-12-01,1,1001040-23.2016.5.02.0013,40739,"Em princípio, não há impacto direto no fundo imobiliário."
09.326.861/0001-39,2016-12-01,1,1014885-71.2015.8.26.0100,819654.84,"Em princípio, sem contingência passiva, na medida em que Fundo/Condomínio do Shopping/Seus antecessores não estão no pólo passivo da demanda. Custas e Honorários Advocatícios podem ser considerados devidos em caso de julgamento à favor do réu/executado."
09.326.861/0001-39,2016-12-01,1,1056060-79.2014.8.26.0100,51674.52,"Não há risco de perda financeira, apenas de se ter de aceitar valor consignado pela autora nos autos."
09.326.861/0001-39,2016-12-01,1,1085829-35.2014.8.26.0100,61556.76,"Em princípio, sem contingência passiva, na medida em que Fundo/Condomínio do Shopping/Seus antecessores não estão no pólo passivo da demanda. Custas e Honorários Advocatícios podem ser considerados devidos em caso de julgamento à favor do réu/executado."
09.326.861/0001-39,2016-12-01,1,1069270-03.2014.8.26.0100,55884.62,"Em princípio, sem contingência passiva, na medida em que Fundo/Condomínio do Shopping/Seus antecessores não estão no pólo passivo da demanda. Custas e Honorários Advocatícios podem ser considerados devidos em caso de julgamento à favor do réu/executado."
09.326.861/0001-39,2016-12-01,1,1032805-95.2014.8.26.0002,14273.97,"Em princípio, sem contingência passiva, na medida em que Fundo/Condomínio do Shopping/Seus antecessores não estão no pólo passivo da demanda. Custas e Honorários Advocatícios podem ser considerados devidos em caso de julgamento à favor do réu/executado."
09.326.861/0001-39,2016-12-01,1,1032806-80.2014.8.26.0002,61484.67,"Em princípio, sem contingência passiva, na medida em que Fundo/Condomínio do Shopping/Seus antecessores não estão no pólo passivo da demanda. Custas e Honorários Advocatícios podem ser considerados devidos em caso de julgamento à favor do réu/executado."
09.326.861/0001-39,2016-12-01,1,1032808-50.2014.8.26.0002,56488.65,"Em princípio, sem contingência passiva, na medida em que Fundo/Condomínio do Shopping/Seus antecessores não estão no pólo passivo da demanda. Custas e Honorários Advocatícios podem ser considerados devidos em caso de julgamento à favor do réu/executado."
09.326.861/0001-39,2016-12-01,1,1063030-95.2014.8.26.0100,32742.06,"Em princípio, sem contingência passiva, na medida em que Fundo/Condomínio do Shopping/Seus antecessores não estão no pólo passivo da demanda. Custas e Honorários Advocatícios podem ser considerados devidos em caso de julgamento à favor do réu/executado."
09.326.861/0001-39,2016-12-01,1,1046599-83.2014.8.26.0100,36949.25,"Em princípio, sem contingência passiva, na medida em que Fundo/Condomínio do Shopping/Seus antecessores não estão no pólo passivo da demanda. Custas e Honorários Advocatícios podem ser considerados devidos em caso de julgamento à favor do réu/executado."
09.326.861/0001-39,2016-12-01,1,1006284-19.2014.8.26.0001,67274.14,"Em princípio, sem contingência passiva, na medida em que Fundo/Condomínio do Shopping/Seus antecessores não estão no pólo passivo da demanda. Custas e Honorários Advocatícios podem ser considerados devidos em caso de julgamento à favor do réu/executado."
09.326.861/0001-39,2016-12-01,1,1006286-86.2014.8.26.0001,123364.8,"Em princípio, sem contingência passiva, na medida em que Fundo/Condomínio do Shopping/Seus antecessores não estão no pólo passivo da demanda. Custas e Honorários Advocatícios podem ser considerados devidos em caso de julgamento à favor do réu/executado."
09.326.861/0001-39,2016-12-01,1,019/1.13.0016104-0,0,"Em princípio, sem contingência passiva, na medida em que Fundo/Condomínio do Shopping busca habilitação de crédito em autos de recuperação judicial."
09.326.861/0001-39,2016-12-01,1,1083274-79.2013.8.26.0100,52364.04,"Em princípio, sem contingência passiva, na medida em que Fundo/Condomínio do Shopping/Seus antecessores não estão no pólo passivo da demanda. Custas e Honorários Advocatícios podem ser considerados devidos em caso de julgamento à favor do réu/executado."
09.326.861/0001-39,2016-12-01,1,1016736-19.2013.8.26.0100,108511.08,"Classe de demanda que, em princípio, tem como consequência a continuidade da locação e a definição do novo valor de aluguel."
09.326.861/0001-39,2016-12-01,1,0105865-86.2012.8.26.0100 (583.00.2012.105865-0),36737.88,"Em princípio, sem contingência passiva, na medida em que Fundo/Condomínio do Shopping/Seus antecessores não estão no pólo passivo da demanda. Custas e Honorários Advocatícios podem ser considerados devidos em caso de julgamento à favor do réu/executado."
09.326.861/0001-39,2016-12-01,1,0005531-10.2013.8.26.0100,Preencher,"Sem contingência, Fundo no pólo ativo"
09.326.861/0001-39,2016-12-01,1,183200900802000,25000,"De acordo com informação do escritório responsável, a indicação de risco é baseada na atualização do valor atribuído a sentença/acórdão."
09.326.861/0001-39,2016-12-01,1,*01138008020095020043,95000,"De acordo com andamento do escritório, demanda tende a ser arquivada. De todo modo, não há, em princípio, impacto direto para o fundo imobiliário."
09.326.861/0001-39,2016-12-01,1,*01537200702602003,30000,"De acordo com andamento do escritório, demanda tende a ser arquivada. De todo modo, não há, em princípio, impacto direto para o fundo imobiliário."
09.326.861/0001-39,2016-12-01,1,0108798-03.2010.8.26.0100,128577.84,"Em princípio, sem contingência passiva, na medida em que Fundo/Condomínio do Shopping/Seus antecessores não estão no pólo passivo da demanda. Custas e Honorários Advocatícios podem ser considerados devidos em caso de julgamento à favor do réu/executado."
09.326.861/0001-39,2016-12-01,1,0174150-68.2011.8.26.0100,540490.29,"Em princípio, sem contingência passiva, na medida em que Fundo/Condomínio do Shopping/Seus antecessores não estão no pólo passivo da demanda. Custas e Honorários Advocatícios podem ser considerados devidos em caso de julgamento à favor do réu/executado."
09.326.861/0001-39,2016-12-01,1,0106974-38.2012.8.26.0100,34093.65,"Em princípio, sem contingência passiva, na medida em que Fundo/Condomínio do Shopping/Seus antecessores não estão no pólo passivo da demanda. Custas e Honorários Advocatícios podem ser considerados devidos em caso de julgamento à favor do réu/executado."
09.326.861/0001-39,2016-12-01,1,0078935-68.2011.8.26.0002,196285.92,"Em princípio, sem contingência passiva, na medida em que Fundo/Condomínio do Shopping/Seus antecessores não estão no pólo passivo da demanda. Custas e Honorários Advocatícios podem ser considerados devidos em caso de julgamento à favor do réu/executado."
09.326.861/0001-39,2016-12-01,1,0185183-55.2011.8.26.0100 (583.00.2011.185183-3),130574.4,"Em princípio, sem contingência passiva, na medida em que Fundo/Condomínio do Shopping/Seus antecessores não estão no pólo passivo da demanda. Custas e Honorários Advocatícios podem ser considerados devidos em caso de julgamento à favor do réu/executado."
09.326.861/0001-39,2016-12-01,1,0020359-42.2012.8.26.0004,15018.52,"Em princípio, sem contingência passiva, na medida em que Fundo/Condomínio do Shopping/Seus antecessores não estão no pólo passivo da demanda. Custas e Honorários Advocatícios podem ser considerados devidos em caso de julgamento à favor do réu/executado."
09.326.861/0001-39,2016-12-01,1,0208663-96.2010.8.26.0100 0208663-96.2010.8.26.0100),24788.41,"Em princípio, sem contingência passiva, na medida em que Fundo/Condomínio do Shopping/Seus antecessores não estão no pólo passivo da demanda. Custas e Honorários Advocatícios podem ser considerados devidos em caso de julgamento à favor do réu/executado."
09.326.861/0001-39,2016-12-01,1,0185876-10.2009.8.26.0100 0043636-85.2015.8.26.0100),614469.29,"Classe de demanda que, em princípio, tem como consequência a continuidade da locação e a definição do novo valor de aluguel."
12.809.972/0001-00,2016-12-31,1,1035958-02.2015.8.26.0100,"0,00",Conexão com o processo nº 1056150-87.2014.8.26.0100
12.809.972/0001-00,2016-12-31,1,1003969-71.2015.8.26.0554,"0,00","Conexão com  o processo nº 1011249-30.2014.8.26.0554, 1012871-47.2014.8.26.0554"
12.809.972/0001-00,2016-12-31,1,1006304-63.2015.8.26.0554,"0,00",Conexão com o processo nº 1017385-43.2014.8.26.0554
12.809.972/0001-00,2016-12-31,1,1002321-56.2015.8.26.0554,"0,00",Conexão com o processo nº 1017385-43.2014.8.26.0554
12.809.972/0001-00,2016-12-31,1,1005728-06.2016.8.26.0564,"0,00",Conexão com o processo nº 1019780-75.2014.8.26.0564
12.809.972/0001-00,2016-12-31,1,1008268-30.2015.8.26.0348,"0,00",Conexão com o processo nº 1003143-18.2014.8.26.0348
12.809.972/0001-00,2016-12-31,1,1017288-43.2014.8.26.0554,"0,00",Conexão com o processo nº  1007365-90.2014.8.26.0554
12.809.972/0001-00,2016-12-31,1,0000784-33.2015.8.26.0654,"0,00",Conexão com o processo nº 0002381-71.2014.8.26.0654
12.809.972/0001-00,2016-12-31,1,1019354-59.2015.8.26.0554,"0,00",Conexão com o processo nº 1006074-21.2015.8.26.0554
12.809.972/0001-00,2016-12-31,1,1001786-32.2016.8.26.0348,"0,00",Conexão com o processo nº 1007166-07.2014.8.26.0348
12.809.972/0001-00,2016-12-31,1,1005484-10.2016.8.26.0554,"0,00",Conexão com o processo nº 1000285-07.2016.8.26.0554
12.809.972/0001-00,2016-12-31,1,1005476-33.2016.8.26.0554,"0,00",Conexão com o processo nº 1000290-29.2016.8.26.0554
12.809.972/0001-00,2016-12-31,1,1003659-80.2015.8.26.0161,"0,00",Conexão com o processo nº (1014615-92.2014.8.26.0161)
12.809.972/0001-00,2016-12-31,1,1001593-51.2015.8.26.0348,"0,00",Conexão com o processo nº 1003140-63.2014.8.26.0348
